id,cq,set,score,comment,ambiguity
238,Are there images of the item being used or created by the artist?,1,3,"Would it be useful to make it more general, like: 'Are there images of the item?' Since the images could be created by the owner of the item or the museum itself.
Ambiguity: it seems that the images was used or created rather than the item itself
agreed this is ambiguous",1
237,Where can an item be sent for repairs?,1,-1,,0
235,Is the artefact out for repair?,1,2,,0
232,How can the item be displayed? (An original recording?),1,1,"m not sure about this question. Does it refer to display restrictions for some items, such as light, temperature, etc.?
Suggested reformulation, as this should be about the records/vinyl rather than the recording (which is intangible)",1
227,Who is the original manufacturer of an item?,1,3,,0
219,What is the type of association between an artefact and an artist?,1,3,I'm not sure if we have any information about the usage of the items,0
205,What kind of metadata was provided for a loaned item when first acquired?,1,-1,What is meant by “kind of metadata”? ,1
198,Does an item have a full history associated with it,1,-1,To be clarified on the notion of history,1
197,When was the item first purchased,1,3,"It looks like this information is related to the owner of the item
It could have been purchased by the museum or by the artist, but it is the kind of information that can be provided with the item",1
195,What is the type of artefact is the item “Gibson J-160E”,1,3,Typo,0
196,Does an item have a brand associated with it,1,3,,0
199,What are the features of an item of type guitar,1,3,,0
200,Who loaned an item,1,3,,0
201,What is the insurance status of an item?,1,3,,0
202,Who is the insurance company insuring an item,1,3,,0
203,What is the condition of an item?,1,3,,0
204,What are the preservation requirements for an item?,1,3,,0
206,What are the loan conditions?,1,3,,0
207,Is an item loaned or donated?,1,3,,0
209,How should an item of type guitar be displayed?,1,3,,0
208,Are there display requirements for an item?,1,3,,0
210,How should an item of type manuscript be displayed?,1,3,,0
212,Is an item on loan?,1,3,,0
211,Is an item currently in the museum?,1,3,,0
213,What organisation borrowed an item?,1,1,,0
215,How was an item acquired?,1,3,,0
214,Are there requirements for an item to be returned?,1,1,Not sure if I got this one!,1
216,Is an item an original or a copy?,1,3,,0
218,What artist is the item associated with?,1,3,,0
217,Is an item one of many items of the same types?,1,-1,Confusing!,1
220,What are the different types of display requirements?,1,3,"Does this mean, what are the different types of display requirements in the museum?  Or that are possible?",1
221,Who is responsible for the acquisition of an item in the museum?,1,3,,0
222,How many items of type manuscript does the museum own?,1,3,,0
224,Is the item related to other artefacts in the museum?,1,3,,0
223,How many items related to Queen does the museum own?,1,1,,0
226,What is the insurance value of an item?,1,3,,0
225,Does the item display any damage or defect?,1,3,,0
229,Is an item on loan or in the museum?,1,3,,0
228,When was an item acquired?,1,3,,0
230,Is an item on display?,1,3,,0
231,Is an item a physical object?,1,3,"Interesting, but within the context of the story, every item by definition is a physical object - although this may be questioned. Very interesting CQ",0
233,What are the types of the artefacts that be displayed?,1,3,Ambiguous: What are the types of the artefacts that will be displayed? or What are the types of the artefacts that are displayed?,1
234,What type of artist is Queen?,1,1,,0
236,When is a loaned item expected to be returned?,1,3,,0
140,What is the broad category of an item?,2,3,,0
141,What is the name or title of an item?,2,3,,0
142,What is the main textual description associated to an item?,2,3,,0
143,What is the caption of the item that is displayed at the museum?,2,3,,0
144,Is this item part of a larger set?,2,3,,0
145,Are there any items in the collection related to this item?,2,3,,0
146,To which music genres can this item be associated?,2,3,,0
147,To which specific period or era does this item belong?,2,3,,0
148,Give me all the images associated to a given item,2,3,,0
149,Which is the primary image of the item if available?,2,3,I'm not sure about this question. What do you mean by the primary image of an item?,1
150,Give me all the audio recordings associated to a given item,2,3,,0
151,Give me all the videos associated to a given item,2,3,,0
