cq,set,c0_length,length,c1_complexity,c1_concepts,c1_properties,c1_relationships,c1_filters,c1_cardinality_hint,c1_aggregation_hint,c2_complexity,c2_num_verbs,c2_num_prepositions,c2_num_conjunctions,c2_num_modifiers,c2_num_noun_phrases,c3_complexity,c3_node_count,c3_tree_depth,c3_total_relevant_deps
Are there images of the item being used or created by the artist?,1,65,65,9.0,3,1,3,1,1,0,11.1,4,2,1,0,3.0,29.1,13,8,8
When is a loaned item expected to be returned?,1,46,46,4.0,2,1,1,0,0,0,7.1,5,0,0,0,1.0,18.1,9,4,5
Is the artefact out for repair?,1,31,31,4.0,2,1,0,0,1,0,6.1,1,2,0,0,2.0,11.1,6,2,3
What type of artist is Queen?,1,29,29,4.0,2,1,1,0,0,0,6.1,1,1,0,1,2.0,13.1,6,3,4
What are the types of the artefacts that be displayed?,1,54,54,4.0,1,1,0,1,1,0,9.1,3,1,0,0,4.0,21.1,10,5,6
Is an item a physical object?,1,29,29,4.0,2,0,1,0,1,0,5.1,1,0,0,1,2.0,11.1,6,2,3
Is an item on display?,1,22,22,3.0,1,1,0,0,1,0,5.1,1,1,0,0,2.0,11.1,5,3,3
Is an item on loan or in the museum?,1,36,36,6.0,3,1,2,0,0,0,8.1,1,2,1,0,3.0,20.1,9,5,6
When was an item acquired?,1,26,26,2.0,1,1,0,0,0,0,4.1,2,0,0,0,1.0,10.1,5,2,3
Who is the original manufacturer of an item?,1,44,44,4.0,2,0,1,1,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
What is the insurance value of an item?,1,39,39,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,16.1,8,4,4
Does the item display any damage or defect?,1,43,43,6.0,2,2,1,0,1,0,7.1,3,0,1,0,2.0,14.1,8,2,4
Is the item related to other artefacts in the museum?,1,53,53,4.0,2,0,1,0,1,0,9.1,2,2,0,1,3.0,24.1,10,7,7
How many items related to Queen does the museum own?,1,52,52,5.0,1,0,1,1,1,1,9.1,3,1,0,1,3.0,22.1,10,5,7
How many items of type manuscript does the museum own?,1,54,54,5.0,1,1,0,1,1,1,8.1,2,1,0,1,3.0,20.1,10,4,6
What are the different types of display requirements?,1,53,53,3.0,1,1,0,0,1,0,7.1,1,1,0,1,3.0,17.1,8,4,5
Who is responsible for the acquisition of an item in the museum?,1,64,64,4.0,2,0,1,0,1,0,10.1,1,3,0,1,4.0,28.1,12,8,8
What is the type of association between an artefact and an artist?,1,66,66,4.0,2,1,1,0,0,0,10.1,1,2,1,0,5.0,25.1,12,5,8
What artist is the item associated with?,1,40,40,3.0,2,0,1,0,0,0,6.1,2,1,0,0,2.0,14.1,7,3,4
Is an item an original or a copy?,1,33,33,2.0,1,1,0,0,0,0,6.1,1,0,1,1,2.0,15.1,8,3,4
How was an item acquired?,1,25,25,4.0,2,1,1,0,0,0,4.1,2,0,0,0,1.0,9.1,5,2,2
What organisation borrowed an item?,1,35,35,4.0,2,0,1,0,1,0,4.1,1,0,0,0,2.0,9.1,5,2,2
Is an item on loan?,1,19,19,5.0,2,1,1,0,1,0,5.1,1,1,0,0,2.0,11.1,5,3,3
Is an item currently in the museum?,1,35,35,6.0,2,1,1,1,1,0,6.1,1,1,0,1,2.0,15.1,7,4,4
