cq,relevance_score,relevance_rationale
Are there images of the item being used or created by the artist?,4,"The user story explicitly states that Sonia compiles details including 'multimedia content (images, videos, audio recordings, when available)' (Scenario). It also emphasizes capturing the 'history,' 'significance,' and 'Associated Artists' for 'iconic items' (Scenario, Example Data). An image of an item 'being used or created by the artist' is a prime example of such multimedia content that directly contributes to the item's history and significance, especially concerning its associated artist. The system is designed to capture 'all the details provided by Sonia' and to 'enrich the museum's knowledge base.' Furthermore, one of the questions in the user story is 'How will the system capture and store the complex history and significance of iconic items...?'; images of artists using items are a direct way to capture this. Therefore, the competency question addresses a requirement to know about such images, which is explicitly covered by the types of data and contextual information the system must handle."
When is a loaned item expected to be returned?,4,"The user story explicitly states that 'loan agreements' are part of the information collected for each item. The 'Example Data' section further details this by including a 'Loan End Date' field within the 'Loan Agreement' for multiple example items (e.g., 'Loan End Date: 2027-12-03 (3 years)' for The Gibson J-160E Guitar). The competency question 'When is a loaned item expected to be returned?' directly addresses this explicitly mentioned 'Loan End Date' information."
Is the artefact out for repair?,3,"The user story emphasizes tracking 'condition,' 'damage,' and 'conservation history' (e.g., 'Refretted in (year),' 'Textile conservation treatment in (year)'). It also mentions that the museum might cover 'conservation costs.' Knowing if an artefact is currently 'out for repair' is a critical aspect of its present condition, its availability for display, and its ongoing conservation management. This information is directly relevant to maintaining an accurate overview of the loaned items, which is a goal for Sonia. While not explicitly stated, this status is a logical and necessary piece of information that can be inferred from the stated needs for comprehensive condition tracking and preservation management within a museum context."
What type of artist is Queen?,3,"The user story explicitly states that ""Associated Artists"" (e.g., ""Queen"") are captured as cataloguing information. The overall goal is to ""enrich the museum's knowledge base"" and facilitate ""metadata generation."" Knowing the type of an artist (e.g., whether Queen is a band, a solo artist) is a fundamental piece of metadata for an artist entity within a music-focused knowledge base. This requirement is therefore inferable using common sense and domain knowledge to make the stored artist information more complete and useful for the knowledge base."
What are the types of the artefacts that be displayed?,4,"The user story explicitly mentions that artefact information includes 'type' and provides examples such as 'Type: Acoustic-electric guitar', 'Type: Stage costume', and 'Type: Manuscript'. It also states, 'Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar).' Therefore, understanding the types of artefacts is an explicitly expressed requirement for the system to capture and manage artefact information correctly."
Is an item a physical object?,3,"The user story describes the loan of 'valuable and iconic items' which are treated as 'artefacts' (e.g., 'When adding a new item to the collection, various information of the artefact is collected'). The examples provided (guitar, jumpsuit, handwritten lyrics) are all physical objects. Furthermore, attributes like 'condition reporting,' 'display requirements,' and 'transport' are discussed, which are characteristic of physical objects. While the term 'physical object' is not explicitly used to define an 'item', the nature of items as physical objects is strongly inferable from the use of the term 'artefact', the provided examples, and the described processes, aligning with common sense and domain knowledge about museum collections."
Is an item on display?,4,"The user story explicitly raises the question of system capability: 'How will the system track the movement of loaned items between different museums and exhibitions...'. If the system tracks that an item is at an exhibition, it implies the item is on display. The goal for the donor, Sonia, is to 'showcase her items,' and the system provides her with an 'ongoing overview.' Knowing if an item is currently on display is a direct aspect of this overview and is derivable from the explicitly mentioned tracking capability related to exhibitions."
Is an item on loan or in the museum?,4,"The user story explicitly states that Sonia needs 'an ongoing overview of her loaned items, including the status of loan agreements.' The competency question 'Is an item on loan or in the museum?' directly addresses the need to determine the current status of an item with respect to its loan agreement and its physical presence/stewardship, which are fundamental aspects of tracking the 'status of loan agreements' and providing an overview of loaned items."
When was an item acquired?,4,"The user story, specifically within the 'Example Data' section for each item (e.g., 'The Gibson J-160E Guitar'), explicitly includes a field under 'Provenance' for 'Acquired by Sonia: (Date and method of acquisition)'. This directly addresses the competency question 'When was an item acquired?'."
Who is the original manufacturer of an item?,4,"The user story explicitly states that 'cataloguing information' is collected for each item. The example data for 'The Gibson J-160E Guitar' includes 'Brand: Gibson' under cataloguing information. 'Brand' in this context directly refers to the original manufacturer. Furthermore, the scenario mentions that 'Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar)', explicitly highlighting 'brand' (which implies manufacturer) as a key piece of information to be captured."
What is the insurance value of an item?,4,"The user story's 'Example Data' section, under 'Loan Agreement' for 'The Gibson J-160E Guitar,' explicitly states: 'Insurance: BME to provide insurance for the full value of the guitar.' This directly indicates that the 'insurance value' or 'full value' of an item is a piece of information that needs to be captured as part of the loan agreement details. Other examples also mention insurance or appraised value, reinforcing this requirement."
Does the item display any damage or defect?,4,"The user story explicitly states that when adding a new item, its 'condition' is collected. The 'Example Data' section further clarifies this by providing a 'Description of any damage' for each item (e.g., 'Minor scratches on the body, replaced tuning pegs' for the Gibson J-160E Guitar). The competency question 'Does the item display any damage or defect?' directly addresses this explicitly stated requirement to document damages as part of an item's condition."
Is the item related to other artefacts in the museum?,4,"The user story, through its 'Example Data' (which details 'the type of information... that needs to be captured'), explicitly requires the system to capture 'Associated Artists' and 'Associated Works' as part of an item's 'Cataloguing information.' The stated goal is 'automatic generation of metadata to enrich the museum's knowledge base.' If an item loaned by Sonia has an 'Associated Artist' (e.g., John Lennon) that is also associated with other artefacts already in the museum's knowledge base, then Sonia's item *is* related to those other artefacts through this shared association. The competency question 'Is the item related to other artefacts in the museum?' directly addresses the system's ability to recognize and utilize these explicitly captured associations to establish relationships within the enriched knowledge base. This capability is a direct outcome of fulfilling the explicit requirements for data capture and knowledge base enrichment with this specific type of relational information."
